name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
Aquaman,Male,blue,Atlantean,Blond,185.0,DC Comics,-,good,146.0
Arachne,Female,blue,Human,Blond,175.0,Marvel Comics,-,good,63.0
Archangel,Male,blue,Mutant,Blond,183.0,Marvel Comics,blue,good,68.0
Arclight,Female,violet,-,Purple,173.0,Marvel Comics,-,bad,57.0
Ardina,Female,white,Alien,Orange,193.0,Marvel Comics,gold,good,98.0
Ares,Male,brown,-,Brown,185.0,Marvel Comics,-,good,270.0
Ariel,Female,purple,-,Pink,165.0,Marvel Comics,-,good,59.0
Armor,Female,black,-,Black,163.0,Marvel Comics,-,good,50.0
Arsenal,Male,-,Human,-,-99.0,DC Comics,-,good,-99.0
Astro Boy,Male,brown,-,Black,-99.0,,-,good,-99.0
Atlas,Male,brown,Mutant,Red,183.0,Marvel Comics,-,good,101.0
Atlas,Male,blue,God / Eternal,Brown,198.0,DC Comics,-,bad,126.0
Atom,Male,blue,-,Red,178.0,DC Comics,-,good,68.0
Atom,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Atom Girl,Female,black,-,Black,168.0,DC Comics,-,good,54.0
Atom II,Male,brown,Human,Auburn,183.0,DC Comics,-,good,81.0
Atom III,Male,-,-,Red,-99.0,DC Comics,-,good,-99.0
Atom IV,Male,brown,-,Black,-99.0,DC Comics,-,good,72.0
Aurora,Female,blue,Mutant,Black,180.0,Marvel Comics,-,good,63.0
Azazel,Male,yellow,Neyaphem,Black,183.0,Marvel Comics,red,bad,67.0
Azrael,Male,brown,Human,Black,-99.0,DC Comics,-,good,-99.0
Aztar,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Bane,Male,-,Human,-,203.0,DC Comics,-,bad,180.0
Banshee,Male,green,Human,Strawberry Blond,183.0,Marvel Comics,-,good,77.0
Bantam,Male,brown,-,Black,165.0,Marvel Comics,-,good,54.0
Batgirl,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Batgirl,Female,green,Human,Red,170.0,DC Comics,-,good,57.0
Batgirl III,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Batgirl IV,Female,green,Human,Black,165.0,DC Comics,-,good,52.0
Batgirl V,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Batgirl VI,Female,blue,-,Blond,168.0,DC Comics,-,good,61.0
Batman,Male,blue,Human,black,188.0,DC Comics,-,good,95.0
Batman,Male,blue,Human,Black,178.0,DC Comics,-,good,77.0
Batman II,Male,blue,Human,Black,178.0,DC Comics,-,good,79.0
Battlestar,Male,brown,-,Black,198.0,Marvel Comics,-,good,133.0
Batwoman V,Female,green,Human,Red,178.0,DC Comics,-,good,-99.0
Beak,Male,black,-,White,175.0,Marvel Comics,-,good,63.0
Beast,Male,blue,Mutant,Blue,180.0,Marvel Comics,blue,good,181.0
Beast Boy,Male,green,Human,Green,173.0,DC Comics,green,good,68.0
Beetle,Male,-,-,-,-99.0,Marvel Comics,-,bad,-99.0
Ben 10,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Beta Ray Bill,Male,-,-,No Hair,201.0,Marvel Comics,-,good,216.0
Beyonder,Male,-,God / Eternal,-,-99.0,Marvel Comics,-,good,-99.0
Big Barda,Female,blue,New God,Black,188.0,DC Comics,-,bad,135.0
Big Daddy,Male,-,-,-,-99.0,Icon Comics,-,good,-99.0
Big Man,Male,blue,-,Brown,165.0,Marvel Comics,-,bad,71.0
Bill Harken,Male,-,Alpha,-,-99.0,SyFy,-,good,-99.0
Billy Kincaid,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Binary,Female,blue,-,Blond,180.0,Marvel Comics,-,good,54.0
Bionic Woman,Female,blue,Cyborg,Black,-99.0,,-,good,-99.0
Bird-Brain,-,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Bird-Man,Male,-,Human,-,-99.0,Marvel Comics,-,bad,-99.0
Bird-Man II,Male,-,Human,-,-99.0,Marvel Comics,-,bad,-99.0
Birdman,Male,-,God / Eternal,-,-99.0,Hanna-Barbera,-,good,-99.0
Bishop,Male,brown,Mutant,No Hair,198.0,Marvel Comics,-,good,124.0
Bizarro,Male,black,Bizarro,Black,191.0,DC Comics,white,neutral,155.0
Black Abbott,Male,red,-,Black,-99.0,Marvel Comics,-,bad,-99.0
Black Adam,Male,brown,-,Black,191.0,DC Comics,-,bad,113.0
Black Bolt,Male,blue,Inhuman,Black,188.0,Marvel Comics,-,good,95.0
Black Canary,Female,blue,Human,Blond,165.0,DC Comics,-,good,58.0
Black Canary,Female,blue,Metahuman,Blond,170.0,DC Comics,-,good,59.0
Black Cat,Female,green,Human,Blond,178.0,Marvel Comics,-,good,54.0
Black Flash,Male,-,God / Eternal,-,-99.0,DC Comics,-,neutral,-99.0
Black Goliath,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Black Knight III,Male,brown,Human,Brown,183.0,Marvel Comics,-,good,86.0
Black Lightning,Male,brown,-,No Hair,185.0,DC Comics,-,good,90.0
Black Mamba,Female,green,-,Black,170.0,Marvel Comics,-,bad,52.0
Black Manta,Male,black,Human,No Hair,188.0,DC Comics,-,bad,92.0
Black Panther,Male,brown,Human,Black,183.0,Marvel Comics,-,good,90.0
Black Widow,Female,green,Human,Auburn,170.0,Marvel Comics,-,good,59.0
Black Widow II,Female,blue,-,Blond,170.0,Marvel Comics,-,good,61.0
Blackout,Male,red,Demon,White,191.0,Marvel Comics,white,bad,104.0
Blackwing,Male,blue,-,Black,185.0,Marvel Comics,-,bad,86.0
Blackwulf,Male,red,Alien,White,188.0,Marvel Comics,-,-,88.0
Blade,Male,brown,Vampire,Black,188.0,Marvel Comics,-,good,97.0
Blaquesmith,-,black,-,No Hair,-99.0,Marvel Comics,-,good,-99.0
Bling!,Female,-,-,-,168.0,Marvel Comics,-,good,68.0
Blink,Female,green,Mutant,Magenta,165.0,Marvel Comics,pink,good,56.0
Blizzard,Male,-,-,-,-99.0,Marvel Comics,-,bad,-99.0
Blizzard,Male,-,-,Brown,-99.0,Marvel Comics,-,bad,-99.0
Blizzard II,Male,brown,-,Brown,175.0,Marvel Comics,-,bad,77.0
Blob,Male,brown,-,Brown,178.0,Marvel Comics,-,bad,230.0
Bloodaxe,Female,blue,Human,Brown,218.0,Marvel Comics,-,bad,495.0
Bloodhawk,Male,black,Mutant,No Hair,-99.0,Marvel Comics,-,good,-99.0
Bloodwraith,Male,white,-,No Hair,30.5,Marvel Comics,-,bad,-99.0
Blue Beetle,Male,blue,-,Brown,-99.0,DC Comics,-,good,-99.0
Blue Beetle,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Blue Beetle II,Male,blue,-,Brown,183.0,DC Comics,-,good,86.0
Blue Beetle III,Male,brown,Human,Black,-99.0,DC Comics,-,good,-99.0
Boba Fett,Male,brown,Human / Clone,Black,183.0,George Lucas,-,bad,-99.0
Bolt,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Bomb Queen,Female,-,-,-,-99.0,Image Comics,-,bad,-99.0
Boom-Boom,Female,blue,Mutant,Blond,165.0,Marvel Comics,-,good,55.0
Boomer,Female,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Booster Gold,Male,blue,Human,Blond,196.0,DC Comics,-,good,97.0
Box,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Box III,-,blue,-,Blond,193.0,Marvel Comics,-,good,110.0
Box IV,-,brown,-,Brown / Black,-99.0,Marvel Comics,-,good,-99.0
Brainiac,Male,green,Android,No Hair,198.0,DC Comics,green,bad,135.0
Brainiac 5,Male,green,-,Blond,170.0,DC Comics,-,good,61.0
Brother Voodoo,Male,brown,Human,Brown / White,183.0,Marvel Comics,-,good,99.0
Brundlefly,Male,-,Mutant,-,193.0,,-,-,-99.0
Buffy,Female,green,Human,Blond,157.0,Dark Horse Comics,-,good,52.0
Bullseye,Male,blue,Human,blond,183.0,Marvel Comics,-,bad,90.0
Bumblebee,Female,brown,Human,Black,170.0,DC Comics,-,good,59.0
Bumbleboy,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Bushido,Male,-,Human,-,-99.0,DC Comics,-,good,-99.0
Cable,Male,blue,Mutant,White,203.0,Marvel Comics,-,good,158.0
Callisto,Female,blue,-,Black,175.0,Marvel Comics,-,bad,74.0
Cameron Hicks,Male,-,Alpha,-,-99.0,SyFy,-,good,-99.0
Cannonball,Male,blue,-,Blond,183.0,Marvel Comics,-,good,81.0
Captain America,Male,blue,Human,blond,188.0,Marvel Comics,-,good,108.0
Captain Atom,Male,blue,Human / Radiation,Silver,193.0,DC Comics,silver,good,90.0
Captain Britain,Male,blue,Human,Blond,198.0,Marvel Comics,-,good,116.0
Captain Cold,Male,brown,Human,Brown,-99.0,DC Comics,-,neutral,-99.0
Captain Epic,Male,blue,-,Brown,188.0,Team Epic TV,-,good,-99.0
Captain Hindsight,Male,-,Human,Black,-99.0,South Park,-,good,-99.0
Captain Mar-vell,Male,blue,-,Blond,188.0,Marvel Comics,-,good,108.0
Captain Marvel,Female,blue,Human-Kree,Blond,180.0,Marvel Comics,-,good,74.0
Captain Marvel,Male,blue,Human,Black,193.0,DC Comics,-,good,101.0
Captain Marvel II,Male,blue,Human,Black,175.0,DC Comics,-,good,74.0
Captain Midnight,Male,-,Human,-,-99.0,Dark Horse Comics,-,good,-99.0
Captain Planet,Male,red,God / Eternal,Green,-99.0,Marvel Comics,-,good,-99.0
Captain Universe,-,-,God / Eternal,-,-99.0,Marvel Comics,-,good,-99.0
Carnage,Male,green,Symbiote,Red,185.0,Marvel Comics,-,bad,86.0
Cat,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
Cat II,Female,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Catwoman,Female,green,Human,Black,175.0,DC Comics,-,good,61.0
Cecilia Reyes,-,brown,-,Brown,170.0,Marvel Comics,-,good,62.0
Century,Male,white,Alien,White,201.0,Marvel Comics,grey,good,97.0
Cerebra,Female,-,Mutant,-,-99.0,Marvel Comics,-,good,-99.0
Chamber,Male,brown,Mutant,Brown,175.0,Marvel Comics,-,good,63.0
Chameleon,Male,-,-,-,-99.0,DC Comics,-,bad,-99.0
Changeling,Male,brown,-,Black,180.0,Marvel Comics,-,bad,81.0
Cheetah,Female,green,Human,Blond,163.0,DC Comics,-,bad,50.0
Cheetah II,Female,green,Human,Brown,170.0,DC Comics,-,bad,55.0
Cheetah III,Female,brown,Human,Brown,175.0,DC Comics,-,bad,54.0
Chromos,Male,brown,-,Red / Grey,185.0,Team Epic TV,-,bad,86.0
Chuck Norris,Male,-,-,-,178.0,,-,good,-99.0
Citizen Steel,Male,green,Human,Red,183.0,DC Comics,-,good,170.0
Claire Bennet,Female,blue,-,Blond,-99.0,NBC - Heroes,-,good,-99.0
Clea,-,-,-,White,-99.0,Marvel Comics,-,good,-99.0
Cloak,Male,brown,-,black,226.0,Marvel Comics,-,good,70.0
Clock King,Male,blue,Human,Black,178.0,DC Comics,-,bad,78.0
Cogliostro,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Colin Wagner,Male,grey,-,Brown,-99.0,HarperCollins,-,good,-99.0
Colossal Boy,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Colossus,Male,silver,Mutant,Black,226.0,Marvel Comics,-,good,225.0
Copycat,Female,red,Mutant,White,183.0,Marvel Comics,blue,neutral,67.0
Corsair,Male,brown,-,Brown,191.0,Marvel Comics,-,good,79.0
Cottonmouth,Male,brown,Human,Black,183.0,Marvel Comics,-,bad,99.0
Crimson Crusader,Male,blue,-,Strawberry Blond,-99.0,Marvel Comics,-,good,-99.0
Crimson Dynamo,Male,brown,-,No Hair,180.0,Marvel Comics,-,good,104.0
Crystal,Female,green,Inhuman,Red,168.0,Marvel Comics,-,good,50.0
Curse,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Cy-Gor,Male,-,-,-,-99.0,Image Comics,-,bad,-99.0
Cyborg,Male,brown,Cyborg,Black,198.0,DC Comics,-,good,173.0
Cyborg Superman,Male,blue,Cyborg,Black,-99.0,DC Comics,-,bad,-99.0
Cyclops,Male,brown,Mutant,Brown,191.0,Marvel Comics,-,good,88.0
Cypher,-,blue,-,Blond,175.0,Marvel Comics,-,good,68.0
Dagger,Female,blue,-,Blond,165.0,Marvel Comics,-,good,52.0
Danny Cooper,Male,brown,-,Blond,-99.0,HarperCollins,-,good,-99.0
Daphne Powell,Female,-,-,-,-99.0,ABC Studios,-,good,-99.0
Daredevil,Male,blue,Human,Red,183.0,Marvel Comics,-,good,90.0
Darkhawk,Male,brown,Human,Brown,185.0,Marvel Comics,-,good,81.0
Darkman,Male,-,-,-,-99.0,Universal Studios,-,good,-99.0
Darkseid,Male,red,New God,No Hair,267.0,DC Comics,grey,bad,817.0
Darkside,-,-,-,-,-99.0,,-,bad,-99.0
Darkstar,Female,brown,Mutant,Blond,168.0,Marvel Comics,-,good,56.0
Darth Maul,Male,yellow / red,Dathomirian Zabrak,-,170.0,George Lucas,red / black,bad,-99.0
Darth Vader,Male,yellow,Cyborg,No Hair,198.0,George Lucas,-,bad,135.0
Dash,Male,blue,Human,Blond,122.0,Dark Horse Comics,-,good,27.0
Data,Male,yellow,Android,Brown,-99.0,Star Trek,-,good,-99.0
Dazzler,Female,blue,Mutant,Blond,173.0,Marvel Comics,-,good,52.0
Deadman,Male,blue,Human,Black,183.0,DC Comics,-,good,90.0
Deadpool,Male,brown,Mutant,No Hair,188.0,Marvel Comics,-,neutral,95.0
Deadshot,Male,brown,Human,Brown,185.0,DC Comics,-,bad,91.0
Deathlok,Male,brown,Cyborg,Grey,193.0,Marvel Comics,-,good,178.0
Deathstroke,Male,blue,Human,White,193.0,DC Comics,-,neutral,101.0
Demogoblin,Male,red,Demon,No Hair,185.0,Marvel Comics,-,bad,95.0
Destroyer,Male,-,-,-,188.0,Marvel Comics,-,bad,383.0
Diamondback,Male,brown,Human,Black,193.0,Marvel Comics,-,bad,90.0
DL Hawkins,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Doc Samson,Male,blue,Human / Radiation,Green,198.0,Marvel Comics,-,good,171.0
Doctor Doom,Male,brown,Human,Brown,201.0,Marvel Comics,-,bad,187.0
Doctor Doom II,Male,brown,-,Brown,201.0,Marvel Comics,-,bad,132.0
Doctor Fate,Male,blue,Human,Blond,188.0,DC Comics,-,good,89.0
Doctor Octopus,Male,brown,Human,Brown,175.0,Marvel Comics,-,bad,110.0
Doctor Strange,Male,grey,Human,Black,188.0,Marvel Comics,-,good,81.0
Domino,Female,blue,Human,Black,173.0,Marvel Comics,white,good,54.0
Donatello,Male,green,Mutant,No Hair,-99.0,IDW Publishing,green,good,-99.0
Donna Troy,Female,blue,Amazon,Black,175.0,DC Comics,-,good,63.0
Doomsday,Male,red,Alien,White,244.0,DC Comics,-,bad,412.0
Doppelganger,Male,white,-,No Hair,196.0,Marvel Comics,-,bad,104.0
Dormammu,Male,yellow,-,No Hair,185.0,Marvel Comics,-,bad,-99.0
Dr Manhattan,Male,white,Human / Cosmic,No Hair,-99.0,DC Comics,blue,good,-99.0
Drax the Destroyer,Male,red,Human / Altered,No Hair,193.0,Marvel Comics,green,good,306.0
Ego,-,-,-,-,-99.0,Marvel Comics,-,bad,-99.0
Elastigirl,Female,brown,Human,Brown,168.0,Dark Horse Comics,-,good,56.0
Electro,Male,blue,Human,Auburn,180.0,Marvel Comics,-,bad,74.0
Elektra,Female,blue,Human,Black,175.0,Marvel Comics,-,good,59.0
Elle Bishop,Female,blue,-,Blond,-99.0,NBC - Heroes,-,bad,-99.0
Elongated Man,Male,blue,-,Red,185.0,DC Comics,-,good,80.0
Emma Frost,Female,blue,-,Blond,178.0,Marvel Comics,-,good,65.0
Enchantress,Female,blue,Human,Blond,168.0,DC Comics,-,good,57.0
Energy,Female,-,-,-,-99.0,HarperCollins,-,good,-99.0
ERG-1,Male,-,-,-,-99.0,DC Comics,-,good,-99.0
Ethan Hunt,Male,brown,Human,Brown,168.0,,-,good,-99.0
Etrigan,Male,red,Demon,No Hair,193.0,DC Comics,yellow,neutral,203.0
Evil Deadpool,Male,white,Mutant,Red,188.0,Marvel Comics,-,bad,95.0
Evilhawk,Male,red,Alien,Black,191.0,Marvel Comics,green,bad,106.0
Exodus,Male,blue,Mutant,Black,183.0,Marvel Comics,red,bad,88.0
Fabian Cortez,-,blue,-,Brown,196.0,Marvel Comics,-,bad,96.0
Falcon,Male,brown,Human,Black,188.0,Marvel Comics,-,good,108.0
Fallen One II,Male,black,-,Blue,-99.0,Marvel Comics,-,bad,-99.0
Faora,Female,-,Kryptonian,-,-99.0,DC Comics,-,bad,-99.0
Feral,-,yellow (without irises),-,Orange / White,175.0,Marvel Comics,-,good,50.0
Fighting Spirit,Female,-,-,Red,-99.0,DC Comics,-,good,-99.0
Fin Fang Foom,Male,red,Kakarantharaian,No Hair,975.0,Marvel Comics,green,good,18.0
Firebird,Female,brown,-,Black,165.0,Marvel Comics,-,good,56.0
Firelord,-,white,-,Yellow,193.0,Marvel Comics,-,good,99.0
Firestar,Female,green,Mutant,Red,173.0,Marvel Comics,-,good,56.0
Firestorm,Male,brown,-,Black,-99.0,DC Comics,-,good,-99.0
Firestorm,Male,blue,Human,Auburn,188.0,DC Comics,-,good,91.0
Fixer,-,red,-,No Hair,-99.0,Marvel Comics,-,bad,-99.0
Flash,Male,blue,Human,Brown / White,180.0,DC Comics,-,good,81.0
Flash Gordon,Male,-,-,-,-99.0,,-,good,-99.0
Flash II,Male,blue,Human,Blond,183.0,DC Comics,-,good,88.0
Flash III,Male,-,Human,-,183.0,DC Comics,-,good,86.0
Flash IV,Male,yellow,Human,Auburn,157.0,DC Comics,-,good,52.0
Forge,-,brown,-,Black,183.0,Marvel Comics,-,good,81.0
Franklin Richards,Male,blue,Mutant,Blond,142.0,Marvel Comics,-,good,45.0
Franklin Storm,-,blue,-,Grey,188.0,Marvel Comics,-,good,92.0
Frenzy,Female,brown,-,Black,211.0,Marvel Comics,-,bad,104.0
Frigga,Female,blue,-,White,180.0,Marvel Comics,-,good,167.0
Galactus,Male,black,Cosmic Entity,Black,876.0,Marvel Comics,-,neutral,16.0
Gambit,Male,red,Mutant,Brown,185.0,Marvel Comics,-,good,81.0
Gamora,Female,yellow,Zen-Whoberian,Black,183.0,Marvel Comics,green,good,77.0
Garbage Man,Male,-,Mutant,-,-99.0,DC Comics,-,good,-99.0
Gary Bell,Male,-,Alpha,-,-99.0,SyFy,-,good,-99.0
General Zod,Male,black,Kryptonian,Black,-99.0,DC Comics,-,bad,-99.0
Genesis,Male,blue,-,Blond,185.0,Marvel Comics,-,good,86.0
Ghost Rider,Male,red,Demon,No Hair,188.0,Marvel Comics,-,good,99.0
Ghost Rider II,-,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Giant-Man,Male,-,Human,-,-99.0,Marvel Comics,-,good,-99.0
Giant-Man II,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630.0
Gladiator,Male,blue,Strontian,Blue,198.0,Marvel Comics,purple,neutral,268.0
Goblin Queen,Female,green,-,Red,168.0,Marvel Comics,-,bad,50.0
Godzilla,-,-,Kaiju,-,108.0,,grey,bad,
Gog,Male,-,-,-,-99.0,DC Comics,-,bad,-99.0
Goku,Male,-,Saiyan,-,175.0,Shueisha,-,good,62.0
Goliath,Male,-,-,-,-99.0,Marvel Comics,-,good,-99.0
Goliath,Male,-,Human,-,-99.0,Marvel Comics,-,good,-99.0
Goliath,Male,-,Human,-,-99.0,Marvel Comics,-,good,-99.0
Goliath IV,Male,brown,-,Black,183.0,Marvel Comics,-,good,90.0
Gorilla Grodd,Male,yellow,Gorilla,Black,198.0,DC Comics,-,bad,270.0
Granny Goodness,Female,blue,-,White,178.0,DC Comics,-,bad,115.0
Gravity,Male,blue,Human,Brown,178.0,Marvel Comics,-,good,79.0
Greedo,Male,purple,Rodian,-,170.0,George Lucas,green,bad,-99.0
Green Arrow,Male,green,Human,Blond,188.0,DC Comics,-,good,88.0
Green Goblin,Male,blue,Human,Auburn,180.0,Marvel Comics,-,bad,83.0
Green Goblin II,Male,blue,-,Auburn,178.0,Marvel Comics,-,bad,77.0
Green Goblin III,Male,-,-,-,183.0,Marvel Comics,-,good,88.0
Green Goblin IV,Male,green,-,Brown,178.0,Marvel Comics,-,good,79.0
Groot,Male,yellow,Flora Colossus,-,701.0,Marvel Comics,-,good,4.0
Guardian,Male,brown,Human,Black,-99.0,Marvel Comics,-,good,-99.0
Guy Gardner,Male,blue,Human-Vuldarian,Red,188.0,DC Comics,-,good,95.0
Hal Jordan,Male,brown,Human,Brown,188.0,DC Comics,-,good,90.0
Han Solo,Male,brown,Human,Brown,183.0,George Lucas,-,good,79.0
Hancock,Male,brown,Human,Black,188.0,Sony Pictures,-,good,-99.0
Harley Quinn,Female,blue,Human,Blond,170.0,DC Comics,-,bad,63.0
Harry Potter,Male,green,Human,Black,-99.0,J. K. Rowling,-,good,-99.0
Havok,Male,blue,Mutant,Blond,183.0,Marvel Comics,-,good,79.0
Hawk,Male,red,-,Brown,185.0,DC Comics,-,good,89.0
Hawkeye,Male,blue,Human,Blond,191.0,Marvel Comics,-,good,104.0
Hawkeye II,Female,blue,Human,Black,165.0,Marvel Comics,-,good,57.0
Hawkgirl,Female,green,-,Red,175.0,DC Comics,-,good,61.0
Hawkman,Male,blue,-,Brown,185.0,DC Comics,-,good,88.0
Hawkwoman,Female,green,-,Red,175.0,DC Comics,-,good,54.0
Hawkwoman II,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Hawkwoman III,Female,blue,-,Red,170.0,DC Comics,-,good,65.0
Heat Wave,Male,blue,Human,No Hair,180.0,DC Comics,-,bad,81.0
Hela,Female,green,Asgardian,Black,213.0,Marvel Comics,-,bad,225.0
Hellboy,Male,gold,Demon,Black,259.0,Dark Horse Comics,-,good,158.0
Hellcat,Female,blue,Human,Red,173.0,Marvel Comics,-,good,61.0
Hellstorm,Male,red,-,Red,185.0,Marvel Comics,-,good,81.0
Hercules,Male,blue,Demi-God,Brown,196.0,Marvel Comics,-,good,146.0
Hiro Nakamura,Male,-,-,-,-99.0,NBC - Heroes,-,good,-99.0
Hit-Girl,Female,-,Human,-,-99.0,Icon Comics,-,good,-99.0
Hobgoblin,Male,blue,-,Grey,180.0,Marvel Comics,-,bad,83.0
Hollow,Female,blue,-,Red,170.0,Marvel Comics,-,good,-99.0
Hope Summers,Female,green,-,Red,168.0,Marvel Comics,-,good,48.0
Howard the Duck,Male,brown,-,Yellow,79.0,Marvel Comics,-,good,18.0
Hulk,Male,green,Human / Radiation,Green,244.0,Marvel Comics,green,good,630.0
Human Torch,Male,blue,Human / Radiation,Blond,178.0,Marvel Comics,-,good,77.0
Huntress,Female,blue,-,Black,180.0,DC Comics,-,good,59.0
Husk,Female,blue,Mutant,Blond,170.0,Marvel Comics,-,good,58.0
Hybrid,Male,brown,Symbiote,Black,175.0,Marvel Comics,-,good,77.0
Hydro-Man,Male,brown,-,Brown,188.0,Marvel Comics,-,bad,119.0
Hyperion,Male,blue,Eternal,Red,183.0,Marvel Comics,-,good,207.0
Iceman,Male,brown,Mutant,Brown,173.0,Marvel Comics,-,good,65.0
Impulse,Male,yellow,Human,Auburn,170.0,DC Comics,-,good,65.0
Indiana Jones,Male,-,Human,-,183.0,George Lucas,-,good,79.0
Indigo,Female,-,Alien,Purple,-99.0,DC Comics,-,neutral,-99.0
Ink,Male,blue,Mutant,No Hair,180.0,Marvel Comics,-,good,81.0
Invisible Woman,Female,blue,Human / Radiation,Blond,168.0,Marvel Comics,-,good,54.0
Iron Fist,Male,blue,Human,Blond,180.0,Marvel Comics,-,good,79.0
Iron Man,Male,blue,Human,Black,198.0,Marvel Comics,-,good,191.0
Iron Monger,Male,blue,-,No Hair,-99.0,Marvel Comics,-,bad,2.0
Isis,Female,-,-,-,-99.0,DC Comics,-,good,-99.0
Jack Bauer,Male,-,-,-,-99.0,,-,good,-99.0
Jack of Hearts,Male,blue / white,Human,Brown,155.0,Marvel Comics,-,good,79.0
Jack-Jack,Male,blue,Human,Brown,71.0,Dark Horse Comics,-,good,14.0
James Bond,Male,blue,Human,Blond,183.0,Titan Books,-,good,-99.0
James T. Kirk,Male,hazel,Human,Brown,178.0,Star Trek,-,good,77.0
Jar Jar Binks,Male,yellow,Gungan,-,193.0,George Lucas,orange / white,good,-99.0
Jason Bourne,Male,-,Human,-,-99.0,,-,good,-99.0
Jean Grey,Female,green,Mutant,Red,168.0,Marvel Comics,-,good,52.0
Jean-Luc Picard,Male,-,Human,-,-99.0,Star Trek,-,good,-99.0
